Ship,Flag,Sunk date,Notes,Coordinates
Black Assarca shipwreck,Unknown,Early 7th century (Presumed),"A wreck discovered at Black Assarca Island in 1995. It was excavated in 1997, and found to hold a cargo of amphoras.",
Globe Star,Singapore,27-Apr-73,A cargo ship that ran aground off Mombasa.[1],4°04′54″S 39°43′12″E
Gulland,Aden,13-Apr-51,A 545-ton Isles-class trawler built for World War II. It ran aground three miles (4.8 km) north of Mombasa.,04°02′50″S 39°43′57″E
Mtongwe,Tanzania,27-Apr-94,A Likoni and Mombasa route ferry that capsized due to overcrowding off Kilindini Harbour. 270 people lost their lives.[2],
Katina P,Greece,26-Apr-92,"An oil tanker that was damaged in a storm, spilling several thousand tonnes of oil.",25°35′S 32°59′E
Sunny South,Royal Navy,20 February 1861,"An American-built extreme clipper sold to Havana and put to work in the slave trade. It was captured by the Royal Navy and used as a store ship, before striking a reef and sinking at Mayotte.",13°02′53″S 45°11′42″E
Achille Lauro,Italy,2-Dec-94,"A cruise ship that was hijacked in 1985 by the Palestine Liberation Front. It ultimately sank nine years later, after an explosion in the engine room started a fire that engulfed the ship.",2°N 47°E
U-852,Kriegsmarine,3-May-44,A Type IXD2 U-boat that was attacked by British aircraft and run aground near Bayla.,9°32′N 50°59′E
SMS Königsberg,Imperial German Navy,11-Jul-15,A Königsberg-class light cruiser that was sunk in the Rufiji River.[1][3],7°52′6″S 39°14′24″E
HMS Pegasus,Royal Navy,20-Sep-14,A Pelorus-class protected cruiser that was sunk at Zanzibar by SMS Königsberg.[1][3],6°8′54″S 39°11′36″E
Spice Islander I,Tanzania,10-Sep-11,"A RORO ferry that sank between Unguja and Pemba Island, with the loss of at least 200 lives.",5°39′23″S 39°28′27″E
Bukoba,Tanzania,21-May-96,A Lake Victoria ferry that sank off Mwanza with over 200 confirmed dead.,1°59′2″S 32°19′7″E
Kabalega,Uganda,8-May-05,A train ferry that collided with Kaawa near the Ssese Islands.,0°39′23″S 32°8′41″E
Robert Coryndon,The Protectorate of Uganda,1962,"A British ferry named after Robert Coryndon, Governor of Uganda (1918–1922).",
Adventure Galley,England,April 1698,"A galley that was captained by William Kidd, who ordered it burnt at Île Sainte-Marie.",
HMS Serapis,Royal Navy,July 1781,A Roebuck-class fifth rate that caught fire and sank off Île Sainte-Marie.,17°00′09″S 49°50′31″E
HMS Algerine,Royal Navy,15-Nov-42,An Algerine-class minesweeper that was torpedoed by the Italian submarine Ascianghi off Béjaïa.,36°45′N 05°11′E
City of Venice,Royal Navy,4-Jul-43,A troopship that was torpedoed by the German submarine U-375.,36°44′N 1°31′E
HMS Ibis,Royal Navy,10-Nov-42,A Black Swan-class sloop that was sunk by an Italian aircraft north of Algiers.,37°0′N 3°0′E
HMS Karanja,Royal Navy,12-Nov-42,"Troop carrier (infantry), former BI cargo liner. Sunk by German aircraft off Bougie (Béjaïa).",
USS Leedstown,United States Navy,9-Nov-42,A troopship that was sunk by the German submarine U-331 off Algiers.,36°49′13″N 3°9′55″E
HMCS Louisburg,Royal Canadian Navy,6-Feb-43,A Flower-class corvette that was sunk by German aircraft near Mostaganem.,36°15′N 00°15′E
HMT Narkunda,Royal Navy,14-Nov-42,"British P&O requisitioned troopship bombed and sunk by German aircraft. Sister ship Naldera. Located off Bougie (Béjaïa), Algeria, passing Cape Carbon.",36°52′N 05°01′E
HMT Rohna,Royal Navy,26-Nov-43,A British troop carrier sunk north of Béjaïa in an air attack during World War II.[4][5],37°1′12″N 5°12′6″E
HMS Samphire,Royal Navy,30-Jan-43,A Flower-class corvette that was torpedoed by an Italian submarine off Béjaïa.,36°56′0″N 5°40′0″E
Strathallen,Royal Navy,22-Dec-42,A Strath-class liner that was being used as a troop transport was sunk by a German submarine off the coast of Algeria.,
HMS Attack,Royal Navy,30-Dec-17,An Acheron-class destroyer that was sunk northwest of Alexandria.,31°18′N 29°49′E
HMS Defender,Royal Navy,11-Jul-41,A D-class destroyer that was attacked by a German bomber and sank under tow off Sidi Barrani.,31°45′N 25°31′E
L'Orient,French Navy,1 August 1798,"An Océan-class ship of the line and Napoleon's flagship, destroyed by fire and explosion in Aboukir Bay during the Battle of the Nile.",
HMS Myngs,Royal Navy,16-May-70,A Z-class destroyer that was sunk by Israeli aircraft in Foul Bay.,
Salem Express,France,14–15 December 1991,"A roll-on/roll-off passenger ferry that ran aground at midnight on a reef near Safaga, sinking rapidly with the loss of at least 464 civilians.",26°38′22″N 34°3′39″E
HMS Salvia,Royal Navy,24-Dec-41,A Flower-class corvette that was torpedoed by U-568 about 100 nautical miles (190 km; 120 mi) west of Alexandria.,31°28′N 28°00′E
Yolanda (Jolanda),Cyprus,Apr-80,A cargo ship that ran aground on a reef at Ras Muhammad.,
HMS Dainty,Royal Navy,24-Feb-41,A D-class destroyer that was sunk by German bombers east of Tobruk.,32°4′24″N 24°4′42″E
HMS Ladybird,Royal Navy,12-May-41,An Insect-class gunboat that was sunk by German dive bombers at Tobruk.,32°4′33″N 23°58′21″E
Shuntien,Royal Navy,23-Dec-41,A passenger and cargo liner that was torpedoed by the German submarine U-559 east of Tobruk.,32°04′N 24°28′E
HMS Sikh,Royal Navy,14-Sep-42,A Tribal-class destroyer that was sunk by shore batteries off Tobruk.,32°5′52″N 24°0′0″E
HMS Terror,Royal Navy,23-Feb-41,An Erebus-class monitor that was attacked by German aircraft and sank under tow off Derna.,32°59′N 22°32′E
U-652,Kriegsmarine,2-Jun-42,A Type VIIC U-boat that was attacked by a British aircraft and scuttled north of Bardia.,31°55′N 25°11′E
Yoma,Royal Navy,17-Jun-41,A troopship that was torpedoed by the German submarine U-81 northwest of Derna.,33°02′N 22°02′E
Commerce,United States,1815,"An American merchant ship that ran aground off Cape Bojador in what is now the Western Sahara. The surviving crew, led by Captain James Riley, were subsequently captured and taken as slaves by local tribes.[6]",
Delhi,United Kingdom,12-Dec-11,"A steamship that ran aground in heavy fog. The Duke of Fife was rescued from the sinking ship, but contracted pleurisy and died soon afterward.",
Empire Barracuda,United Kingdom,15-Dec-42,A cargo ship that was torpedoed by the U-77 off Morocco.,35°30′N 06°17′W﻿ / ﻿35.500°N 6.283°W﻿ / 35.500; -6.283﻿ (SS E
USS Hugh L. Scott,United States Navy,12-Nov-42,A Hugh L. Scott-class troopship that was torpedoed by U-130 off Casablanca.,
HMS Lady Shirley,Royal Navy,11-Dec-41,A warship that was torpedoed by U-374 in the Straits of Gibraltar.,
USS Tasker H. Bliss,United States Navy,13-Nov-42,A Tasker H. Bliss-class troopship that was sunk by U-130 off Casablanca.,
Taube,Germany,20-Jan-09,"The sailing yacht Taube, sailing for the (since abandoned) cultural exploration project Migrobirdo, capsized in heavy swell on the approach to the port of Mehdya on the Sebou River. Six youths of different nationalities drowned, while one German female survived. An investigation concluded that several factors contributed to the accident, including an untrained skipper, an inexperienced crew, overloading, and the absence of a clear line of command.[7]",
U-173,Kriegsmarine,16-Nov-42,A Type IXC U-boat that was sunk by American destroyers off Casablanca.,
U-204,Kriegsmarine,19-Oct-41,A Type VIIC U-boat that was sunk by HMS Mallow and HMS Rochester near Tangier.,
U-731,Kriegsmarine,15-May-44,A Type VIIC U-boat that was sunk by British ships north of Tangier.,
U-732,Kriegsmarine,31-Oct-43,A Type VIIC U-boat that came under attack from British forces and was scuttled north of Tangier.,
HMS Havock,Royal Navy,6-Apr-42,A H-class destroyer that ran aground off Kelibia.,36°52′18″N 11°8′24″E
HMS Hostile,Royal Navy,23-Aug-40,A H-class destroyer that struck a mine and was scuttled off Cap Bon.,36°53′00″N 11°19′00″E
Mahdia,Unknown,Unknown,An ancient shipwreck discovered near Mahdia in 1907. It is thought to date from around 80 BC.[8],35°31′55″N 8°47′15″E
HMS Manchester,Royal Navy,13-Aug-42,A Town-class light cruiser that was sunk during Operation Pedestal.,36°50′0″N 11°10′0″E
USS PC-496,United States Navy,4-Jun-43,A PC-461-class submarine chaser that sank off Bizerte.,37°23′0″N 9°52′0″E
USS Redwing,United States Navy,29-Jun-43,A Lapwing-class minesweeper that capsized off Bizerte.,37°19′N 9°56′E
Bom Jesus,Portugal,,A Portuguese nau that set sail from Lisbon in 1533. It was discovered in 2008 on the coast near Oranjemund.[9],
Dunedin Star,United Kingdom,29-Nov-42,"A refrigerator ship that ran aground on the Skeleton Coast, 80 kilometres (50 mi) south of the Cunene River.[10]",18°08′S 11°33′E
Eduard Bohlen,Germany,5-Sep-09,A freighter that ran aground south of Conception Bay.[11][12],23°59′43″S 14°27′26″E
Frotamerica,Unknown,15-Feb-13,"The cargo ship ran aground at Lüderitz, Namibia.[13]",26°22′12″S 15°02′25″E
,Natal Coast,South Africa,1955,
,Otavi,Unknown,1945,
Bredenhof,Dutch East India Company,6 June 1753,"A Dutch East Indiaman carrying copper duits, silver bars, and gold ducats, which hit a reef twenty-one kilometres (13 mi) from the eastern coast of Africa and 190 kilometres (120 mi) south of the Portuguese settlement of Mozambique. The wreck was discovered in 1986.[15]",
Cordigliera,Unknown,16-Nov-96,"After placing a distress call to Durban Radio at 10:30 pm requesting immediate assistance due to a leak in a hold, the freighter sank off Port St Johns, South Africa, with the loss of all 23 lives.[16]",
Doddington,East India Company,17 July 1755,An East Indiaman that was wrecked at Bird Island in Algoa Bay.[17],33°50.06′S 26°17.40′E
Grosvenor,East India Company,4 August 1782,An East Indiaman that was wrecked off the Pondoland coast.[18],31°22′26″S 29°54′53″E
