Date / Time,Country,City,State,Shape,Summary,lat,lng
12/21/16 19:15,USA,Waynesboro,VA,Sphere,Bright round object hovering in sky.,38.0652286,-78.90588756
12/21/16 00:00,USA,Louisville,KY,Unknown,"Multiple craft ascending from north of Shelbyville road, very bright and 
very quiet in comparison to passenger planes seen in the sky a",38.2542376,-85.7594069
12/20/16 22:30,USA,Santa Rosa,CA,Sphere,Bright orange planet-like object sighted near Cassiopia,38.4404675,-122.7144313
12/20/16 19:00,USA,Fresno,CA,Circle,Twelve orange globes in formation over Fresno,36.7295295,-119.7088612
12/19/16 21:53,USA,Reymert,AZ,Circle,"While camping in the Cottonwood canyon Rd., along the gas line rd., I awoke 
to my dog growling and staring north. I looked to see what",33.2297793,-111.2092898
12/19/16 21:50,USA,Redding,CA,Light,"Stargazing I saw a star just appear then moves slowly then gradually fade 
out",40.5863563,-122.3916753
12/19/16 20:02,USA,Gilbert,AZ,Light,"Undulating swarm cloud of thousands of multi-colored blinking lights in the 
sky for 10-15 minutes. ((NUFORC Note: LED balloons. PD))",33.294207,-111.7379465
12/19/16 19:02,USA,Phoenix,AZ,Circle,"Bright light in the night sky. Disappears within about every 30 min returns 
in intervals. ((NUFORC Note: Venus?? PD))",33.4485866,-112.0773455
12/19/16 18:30,USA,Huber Heights,OH,Cylinder,"Entire family sees very large, stationary, bright light in the night sky 
which simply disappears all at once.",39.85902405,-84.11136285
12/19/16 18:00,USA,Conway,AR,Chevron,((NUFORC Note: No information provided by witness. PD)),35.0886963,-92.442101
12/19/16 10:30,USA,Anchorage,AK,Circle,"4 red silent crafts flying from North to South with no flashing airplane 
lights. ((anonymous report))",61.2163129,-149.8948522
12/19/16 06:50,USA,Town and Country,MO,Light,"I was heading N on Barrett Stat. Rd, saw glimmering in the sky N of 
Manchester slowly drifting. many different colours.",38.6122751,-90.4634531
12/19/16 03:30,USA,Salt Lake City,UT,Triangle,Triangular shaped object changing speed. ((anonymous report)),40.7670126,-111.8904307
12/19/16 01:27,USA,Richardson,TX,Triangle,"3 triangular shaped craft - flying in V-formation from West to East, just 
North of Dallas Texas, and the night sky was very clear",32.9481789,-96.7297205
12/18/16 22:00,CANADA,Wetaskiwin,AB,Light,"Bright Red Light Seen by Roommate and Myself in Northren sky moving West to 
East.",52.968492,-113.3679199
12/18/16 21:50,USA,Berryville,AR,Formation,"I saw my dog looking up at the sky. Looked up as well to see 15-18 gold 
lights in a loose flock-like formation. ((anonymous report))",36.364792,-93.5679666
12/18/16 21:15,USA,Honolulu,HI,Light,"I observed what appeared to be 7-10 red lights in the shape of an egg 
moving West to East over Honolulu and Waikiki. It paused twice an",21.304547,-157.8556763
12/18/16 21:00,USA,St. George,UT,Chevron,V-shaped lights heading SW at high rate of speed. No sound.,37.104153,-113.5841312
12/18/16 20:40,USA,Bend,OR,Other,"Large fleet of lights flying together in unity across the sky over Bend 
Oregon",44.0581728,-121.3153095
12/18/16 19:30,USA,Mission,KS,Light,Too yellow to be airplanes. And traveling in a line formation,39.0277832,-94.6557913
12/18/16 19:00,USA,Lancaster,OH,Light,"I thought they were plane lights at first but in a umbrella formation they 
never moved. Just a yellowish white lights.",39.7136754,-82.5993293
12/17/16 21:00,USA,San Pedro,CA,Other,"Object changing colors and slowly going up into the sky. Bright and almost 
not moving at all. ((NUFORC Note: Sirius? PD))",33.7358518,-118.2922933
12/17/16 20:00,USA,Kahana,HI,Fireball,"Fireball 4 seconds in duration coming from the ocean in Kahana Maui going 
west to east. ((anonymous report))",21.5543942,-157.873405
12/17/16 20:00,USA,San Diego,CA,Sphere,"Was standing on top of Sunset Cliffs overlooking the Pacific ocean. I 
noticed a dim red light around near where the horizon should hav",32.7174209,-117.1627713
12/17/16 19:53,USA,Waipio,HI,Circle,"Single greenish-blue sphere seen on the Island of Oahu, Hawaii.",21.4172766,-157.9986758
12/17/16 19:15,USA,Ojai,CA,Oval,"Unidentified aerial object somewhat bright in the sky. ((NUFORC Note: We 
suspect a sighting of Venus. PD))",34.4480495,-119.2428889
12/17/16 07:30,USA,Weston,FL,Circle,"Approx. 15 red ball shaped lights traveling in a line going across the sky. 
They appeared to coming from the S. ((anonymous report))",26.103632,-80.40310188
12/17/16 00:08,USA,Fairfield,CA,Fireball,Large craft chases smaller craft,38.2493581,-122.0399662
12/16/16 23:30,USA,Rio Rancho,NM,Fireball,The mysterious sound and wake of an explosion in Rio Rancho.,35.269381,-106.6328189
12/16/16 22:20,USA,Hixson,TN,Other,"V-shaped lights hovered still, disappeared, then took off.",35.236207,-85.2982059
12/16/16 22:00,USA,Dade City,FL,Circle,"A giant ball of light falling in the Northern sky down to the Earth. 
((anonymous report))",28.3647248,-82.1959177
12/16/16 19:30,USA,La Veta,CO,Light,A light and a cloud moving at a high rate of speed.,37.5050118,-105.0077746
12/16/16 18:30,USA,Kelso,WA,Other,"Falling fire looking object with a whiteshape on top of fire then went up 
fast",46.1420334,-122.9060317
12/16/16 18:00,USA,Skiatook,OK,Light,"Bright, dense blue and white lights making 180 degree turns and hovering.",36.3684245,-96.0013846
12/16/16 06:25,USA,Carson City,NV,Unknown,Object streaking across sky.,39.1637984,-119.7674033
12/15/16 21:00,USA,Syracuse,NY,Oval,"UFO hovered and maneuvered over the highway ahead of us. my car shut off 
and electrical, too.",43.0481221,-76.1474243
12/15/16 20:30,USA,Johnson City,TN,Triangle,"Small, low flying, fast aircraft with bright lights. ((anonymous report))",36.3134398,-82.3534727
12/15/16 20:00,USA,Davie,FL,Egg,Ultra-Bright White Blimp like Object. ((anonymous report)),26.075729,-80.28410888
