,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
0,small_airport,Utirik Airport,11.222,169.852005,4.0,MH,K03N,UTK
1,small_airport,Atkamba Airport,-6.0655555555600005,141.095277778,150.0,PG,,ABP
2,small_airport,Andakombe Airport,-7.13722222222,145.744722222,3600.0,PG,AYAN,ADC
3,small_airport,Aseki Airport,-7.35080485552,146.19386673,4106.0,PG,AYAX,AEK
4,small_airport,Afore Airstrip,-9.14222222222,148.390833333,2500.0,PG,AYAF,AFR
5,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,23.0,SB,AGAF,AFT
6,small_airport,Ulawa Airport,-9.86054358262,161.979546547,40.0,SB,AGAR,RNA
7,small_airport,Uru Harbour Airport,-8.87333,161.011002,,SB,AGAT,ATD
8,small_airport,Barakoma Airport,-7.912779808044434,156.70599365234375,,SB,AGBA,VEV
9,small_airport,Geva Airport,-7.575829982757568,156.5970001220703,,SB,AGEV,GEF
10,small_airport,Angoram Airport,-4.05583333333,144.073888889,75.0,PG,,AGG
11,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5.0,SB,AGGA,AKS
12,small_airport,Bellona/Anua Airport,-11.3022222222,159.798333333,60.0,SB,AGGB,BNY
13,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,SB,AGGC,CHY
14,small_airport,Ballalae Airport,-6.990745,155.886656,5.0,SB,AGGE,BAS
15,small_airport,Fera/Maringe Airport,-8.1075,159.576996,,SB,AGGF,FRE
16,large_airport,Honiara International Airport,-9.428,160.054993,28.0,SB,AGGH,HIR
17,small_airport,Babanakira Airport,-9.7475004196167,159.83900451660156,,SB,AGGI,MBU
18,small_airport,Avu Avu Airport,-9.86833333333,160.410555556,25.0,SB,AGGJ,AVU
19,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,54.0,SB,AGGK,IRA
20,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,18.0,SB,AGGL,SCZ
21,medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,10.0,SB,AGGM,MUA
22,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13.0,SB,AGGN,GZO
23,small_airport,Mono Airport,-7.416940212249756,155.56500244140625,,SB,AGGO,MNY
24,small_airport,Parasi Airport,-9.64167022705078,161.4250030517578,,SB,AGGP,PRS
25,small_airport,Rennell/Tingoa Airport,-11.533900260925291,160.06300354003906,,SB,AGGR,RNL
26,small_airport,Sege Airport,-8.578889846801758,157.87600708007812,,SB,AGGS,EGM
27,small_airport,Santa Ana Airport,-10.847994,162.454108,3.0,SB,AGGT,NNB
28,small_airport,Marau Airport,-9.86166954041,160.824996948,,SB,AGGU,RUS
29,small_airport,Suavanao Airport,-7.585559844970703,158.7310028076172,,SB,AGGV,VAO
30,small_airport,Yandina Airport,-9.092816,159.21841,60.0,SB,AGGY,XYA
31,small_airport,Kagua Airport,-6.396388888890001,143.853611111,5350.0,PG,,AGK
32,small_airport,Kaghau Airport,-7.3305,157.585,30.0,SB,AGKG,KGE
33,small_airport,Kukudu Airport,-8.0262,156.94783,32.0,SB,AGKU,KUE
34,small_airport,Kwailabesi Airport,-8.360508,160.775127,52.0,SB,AGKW,KWS
35,small_airport,Wanigela Airport,-9.3375,149.155555556,53.0,PG,AYWG,AGL
36,small_airport,Nana Airport,-10.6758,162.2049,60.0,SB,AGNA,NAZ
37,small_airport,Ringi Cove Airport,-8.12639045715332,157.14300537109375,,SB,AGRC,RIN
38,small_airport,Ramata Airport,-8.168060302734375,157.64300537109375,,SB,AGRM,RBV
39,small_airport,Argyle Downs Airport,-16.514,128.9245,407.0,AU,,AGY
40,small_airport,Aiome Airport,-5.145699978,144.7307003,350.0,PG,AYAO,AIE
41,small_airport,Aiambak Airport,-7.342777777779999,141.2675,90.0,PG,AYAK,AIH
42,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,16.0,MH,,AIC
43,small_airport,Ama Airport,-4.10111111111,141.67,145.0,PG,AYAA,AMF
44,small_airport,Amanab Airport,-3.586,141.214333333,1307.0,PG,AYAM,AMU
45,small_airport,Angaur,6.906829,134.145386,20.0,PW,,
46,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,NR,ANYN,INU
47,small_airport,Angus Downs Airport,-25.0325,132.2748,1724.0,AU,,ANZ
